hgnc_symbol	entrezgene_id	chromosome_name	start_position	end_position	strand	CHR	win_start	win_end
WFDC10A	140832	20	44258165	44259835	1	20	44223165	44269835
MIR5583-1	100847025	18	37256685	37256743	1	18	37221685	37266743
MIR5583-1	100846997	18	37256685	37256743	1	18	37221685	37266743
CYFIP1	23191	15	22892005	23006016	1	15	22857005	23016016
WFDC11	259239	20	44277202	44298909	-1	20	44267202	44333909
TPTE2P3	220115	13	53063128	53161222	1	13	53028128	53171222
MIR626	693211	15	41983783	41983876	1	15	41948783	41993876
WFDC10B	280664	20	44313292	44333658	-1	20	44303292	44368658
TMPRSS15	5651	21	19641433	19858197	-1	21	19631433	19893197
MIR4310	100423013	15	42158693	42158749	-1	15	42148693	42193749
WFDC13	164237	20	44330655	44337456	1	20	44295655	44347456
MIR1827	100302217	15	78330873	78330937	1	15	78295873	78340937
SPINT4	391253	20	44350990	44354469	1	20	44315990	44364469
LINC00907	284260	18	39739247	40271387	1	18	39704247	40281387
IDH3B	3420	20	2639041	2644865	-1	20	2629041	2679865
KATNAL2	83473	18	44497455	44627658	1	18	44462455	44637658
WFDC3	140686	20	44376583	44420571	-1	20	44366583	44455571
MIR759	100313778	13	53384179	53384274	1	13	53349179	53394274
CASS4	57091	20	54987168	55034396	1	20	54952168	55044396
LINC00558	100861552	13	54389554	54450254	1	13	54354554	54460254
LINC00458	100507428	13	54689924	54707001	-1	13	54679924	54742001
MIR627	693212	15	42491768	42491864	-1	15	42481768	42526864
NCAM2	4685	21	22370633	22915650	1	21	22335633	22925650
MIR5007	100846996	13	55748589	55748683	1	13	55713589	55758683
LINC00161	118421	21	29911640	29912677	1	21	29876640	29922677
PPP1R14D	54866	15	41107650	41120907	-1	15	41097650	41155907
MIR184	406960	15	79502130	79502213	1	15	79467130	79512213
FAM227B	196951	15	49619159	49913128	-1	15	49609159	49948128
LINC00189	193629	21	30565801	30660526	1	21	30530801	30670526
DIAPH3-AS1	100874195	13	60586885	60618491	1	13	60551885	60628491
DIAPH3-AS2	100874196	13	60718832	60727639	1	13	60683832	60737639
MC5R	4161	18	13824154	13826861	1	18	13789154	13836861
MIR4758	100616340	20	60907543	60907613	-1	20	60897543	60942613
LINC00378	101926930	13	61259333	61268662	1	13	61224333	61278662
MC2R	4158	18	13882043	13915706	-1	18	13872043	13950706
LACTB	114294	15	63413999	63434260	1	15	63378999	63444260
MIR3169	100422973	13	61773932	61774014	-1	13	61763932	61809014
C20orf166-AS1	253868	20	61141550	61148733	-1	20	61131550	61183733
CNTFR-AS1	415056	9	34568013	34582827	1	9	34533013	34592827
BACH1-IT1	571	21	30723955	30734215	1	21	30688955	30744215
LINC00358	100874143	13	62578226	62603681	-1	13	62568226	62638681
BLM	641	15	91260558	91358859	1	15	91225558	91368859
MIR1-1	406904	20	61151510	61151586	1	20	61116510	61161586
MIR133A2	406923	20	61162119	61162220	1	20	61127119	61172220
MRPL39	54148	21	26957968	26979829	-1	21	26947968	27014829
FAM205B	389715	9	34832292	34838583	-1	9	34822292	34873583
MIR4319	100422829	18	42550047	42550131	-1	18	42540047	42585131
ZNF519	162655	18	14057456	14132489	-1	18	14047456	14167489
LINC00395	100874157	13	64241814	64312151	-1	13	64231814	64347151
CTSZ	1522	20	57570240	57582302	-1	20	57560240	57617302
LINC00659	100652730	20	61405480	61406764	-1	20	61395480	61441764
RNU6-81P	100873780	13	64357934	64358037	1	13	64322934	64368037
OGFR-AS1	101409261	20	61431979	61436939	-1	20	61421979	61471939
RTFDC1	51507	20	55043647	55093943	1	20	55008647	55103943
SPINT1	6692	15	41136216	41150405	1	15	41101216	41160405
GRIK1-AS1	642976	21	31120494	31136321	1	21	31085494	31146321
LINC01056	100144597	20	61669363	61685215	1	20	61634363	61695215
HAR1B	768097	20	61726845	61733671	-1	20	61716845	61768671
ATP8B5P	158381	9	35406752	35483026	1	9	35371752	35493026
LINC00307	266919	21	31581469	31584101	-1	21	31571469	31619101
HAR1A	768096	20	61733483	61735738	1	20	61698483	61745738
MIR548X2	100616302	13	66540462	66540561	-1	13	66530462	66575561
MIR4704	100616205	13	66792382	66792456	1	13	66757382	66802456
MIR124-3	406909	20	61809852	61809938	1	20	61774852	61819938
EBF4	57593	20	2673524	2740753	1	20	2638524	2750753
MIR3196	100423014	20	61870131	61870194	1	20	61835131	61880194
LINC00927	283688	15	80555410	80634147	-1	15	80545410	80669147
MIR4326	100422945	20	61918160	61918218	1	20	61883160	61928218
PCDH9-AS2	100874064	13	67399301	67489163	1	13	67364301	67499163
PCDH9-AS3	100874086	13	67551564	67559908	1	13	67516564	67569908
PCDH9-AS4	100874087	13	67565018	67576139	1	13	67530018	67586139
MIR4667	100616214	9	35608091	35608156	1	9	35573091	35618156
TUBB1	81027	20	57594309	57601709	1	20	57559309	57611709
RMRP	6023	9	35657748	35658015	-1	9	35647748	35693015
FGF7	2252	15	49715293	49780972	1	15	49680293	49790972
POTEC	388468	18	14507338	14543584	-1	18	14497338	14578584
MIR941-2	100126339	20	62550834	62550950	1	20	62515834	62560950
MIR941-2	100126330	20	62550834	62550950	1	20	62515834	62560950
MIR941-2	100126329	20	62550834	62550950	1	20	62515834	62560950
MIR941-3	100126352	20	62551085	62551201	1	20	62516085	62561201
DNTTIP1	116092	20	44420576	44440066	1	20	44385576	44450066
MIR941-1	100126329	20	62551365	62551481	1	20	62516365	62561481
TCEB3CL2	100506888	18	44542731	44544607	-1	18	44532731	44579607
MIR1914	100302137	20	62572818	62572897	-1	20	62562818	62607897
JAM2	58494	21	27011584	27089874	1	21	26976584	27099874
LINC00961	158376	9	35909480	35911683	1	9	35874480	35921683
MIR647	693232	20	62573984	62574079	-1	20	62563984	62609079
LINC00176	284739	20	62665697	62671315	1	20	62630697	62681315
ATP5E	514	20	57600522	57607437	-1	20	57590522	57642437
TCEB3CL	728929	18	44548658	44550534	-1	18	44538658	44585534
RPS27L	51065	15	63418071	63450220	-1	15	63408071	63485220
MIR4527	100616264	18	44906867	44906936	1	18	44871867	44916936
TCEB3C	101930171	18	44554573	44556449	-1	18	44544573	44591449
TCEB3C	101930165	18	44554573	44556449	-1	18	44544573	44591449
TCEB3C	101929858	18	44554573	44556449	-1	18	44544573	44591449
TCEB3C	101060464	18	44554573	44556449	-1	18	44544573	44591449
TCEB3C	101060457	18	44554573	44556449	-1	18	44544573	44591449
TCEB3C	162699	18	44554573	44556449	-1	18	44544573	44591449
LINC00266-1	140849	20	62921738	62944485	1	20	62886738	62954485
MIR5572	100847042	15	80873444	80873580	1	15	80838444	80883580
ATXN8OS	6315	13	70681345	70713561	1	13	70646345	70723561
MIR549	693132	15	81134319	81134414	-1	15	81124319	81169414
TCEB3B	51224	18	44558943	44561988	-1	18	44548943	44596988
MIR4475	100616289	9	36823536	36823596	-1	9	36813536	36858596
MIR4327	100422891	21	31747612	31747696	-1	21	31737612	31782696
FOXD4	2298	9	116237	118417	-1	9	106237	153417
LINC00348	100885781	13	71589273	71742549	1	13	71554273	71752549
MIR4540	100616278	9	36864251	36864305	-1	9	36854251	36899305
MIR4743	100616366	18	46196971	46197039	1	18	46161971	46207039
MIR4476	100616456	9	36893459	36893528	-1	9	36883459	36928528
MIR4514	100616181	15	81289758	81289814	-1	15	81279758	81324814
LINC00687	728450	20	11781111	11851363	-1	20	11771111	11886363
RAB8B	51762	15	63481668	63559981	1	15	63446668	63569981
UBE2C	11065	20	44441215	44445596	1	20	44406215	44455596
RNU6-79P	100873779	13	73455246	73455352	-1	13	73445246	73490352
GCNT7	140687	20	55066548	55100981	-1	20	55056548	55135981
SLMO2	51012	20	57608200	57617964	-1	20	57598200	57652964
RNU6-66P	100873770	13	73687052	73687155	-1	13	73677052	73722155
ISM1-AS1	100505536	20	13218448	13220321	-1	20	13208448	13255321
HDHD2	84064	18	44633774	44676891	-1	18	44623774	44711891
ATP5J	522	21	27088815	27107984	-1	21	27078815	27142984
ZBTB26	57684	9	125677845	125693779	-1	9	125667845	125728779
FAM209A	388799	20	55092243	55101198	1	20	55057243	55111198
FAM209A	200232	20	55092243	55101198	1	20	55057243	55111198
MACROD2-IT1	140848	20	14535030	14617170	1	20	14500030	14627170
LINC00381	100874151	13	74993310	75009296	1	13	74958310	75019296
DTWD1	56986	15	49913177	49937333	1	15	49878177	49947333
CPXM1	56265	20	2774715	2781283	-1	20	2764715	2816283
MACROD2-AS1	100379174	20	14864899	14910161	-1	20	14854899	14945161
LINC00347	338864	13	75117975	75139582	1	13	75082975	75149582
FAM209B	388799	20	55108302	55111576	1	20	55073302	55121576
CATSPER2P1	440278	15	44019116	44039292	-1	15	44009116	44074292
RHOV	171177	15	41164412	41166487	-1	15	41154412	41201487
CTAGE11P	647288	13	75812080	75814432	-1	13	75802080	75849432
FAM220BP	647044	9	38527094	38527909	1	9	38492094	38537909
FURIN	5045	15	91411822	91426688	1	15	91376822	91436688
NIPA2	81614	15	23004684	23034427	-1	15	22994684	23069427
FAM201A	158228	9	38620471	38624987	1	9	38585471	38634987
MIR4744	100616420	18	46576057	46576138	-1	18	46566057	46611138
GABPA	2551	21	27106881	27144771	1	21	27071881	27154771
TFAP2C	7022	20	55204358	55214339	1	20	55169358	55224339
SNORD17	692086	20	17943353	17943589	-1	20	17933353	17978589
MIR1539	100302257	18	47013709	47018248	1	18	46978709	47028248
ZNF831	128611	20	57766075	57834168	1	20	57731075	57844168
SNORD58A	26791	18	47017653	47017717	-1	18	47007653	47052717
TNNC2	7125	20	44451853	44462384	-1	20	44441853	44497384
VPS18	57617	15	41186628	41196173	1	15	41151628	41206173
SNORD58B	26790	18	47018034	47018099	-1	18	47008034	47053099
APH1B	83464	15	63568217	63601325	1	15	63533217	63611325
MYCBP2-AS1	100874212	13	77649649	77672677	1	13	77614649	77682677
MIR1282	100302254	15	44085857	44085957	-1	15	44075857	44120957
PIN4P1	728758	15	44168047	44168442	-1	15	44158047	44203442
RABGAP1	23637	9	125703112	125867145	1	9	125668112	125877145
IER3IP1	51124	18	44681413	44702745	-1	18	44671413	44737745
SCARNA17	677769	18	47340503	47340646	1	18	47305503	47350646
MIR3665	100500861	13	78272147	78272251	-1	13	78262147	78307251
EDNRB-AS1	100505518	13	78402357	78408085	1	13	78367357	78418085
LINC00851	440757	20	18359693	18362128	1	20	18324693	18372128
MIR3192	100422875	20	18451259	18451335	1	20	18416259	18461335
LINC00475	158314	9	94903580	94922396	1	9	94868580	94932396
EDN3	1908	20	57875482	57901047	1	20	57840482	57911047
DLL4	54567	15	41221538	41231237	1	15	41186538	41241237
RNF219-AS1	100874222	13	78493824	79191463	1	13	78458824	79201463
LINC00493	388789	20	18548064	18550207	1	20	18513064	18560207
TMEM239	100288797	20	2795614	2800930	1	20	2760614	2810930
LINC01069	101927176	13	78563507	78564781	-1	13	78553507	78599781
LINC00446	100874175	13	78587018	78627730	1	13	78552018	78637730
ANKRD30B	374860	18	14728271	14852737	1	18	14693271	14862737
UBE2Q2P2	101929193	15	82647360	82712277	1	15	82612360	82722277
UBE2Q2P2	100134869	15	82647360	82712277	1	15	82612360	82722277
UBE2Q2P2	100133144	15	82647360	82712277	1	15	82612360	82722277
BMP7	655	20	55743804	55841685	-1	20	55733804	55876685
LINC00652	29075	20	18768295	18774979	-1	20	18758295	18809979
SKOR2	652991	18	44746293	44775554	-1	18	44736293	44810554
C20orf141	128653	20	2795633	2796479	1	20	2760633	2806479
GPR21	2844	9	125796806	125797975	1	9	125761806	125807975
CBWD1	644019	9	121041	188979	-1	9	111041	223979
CBWD1	445571	9	121041	188979	-1	9	111041	223979
CBWD1	220869	9	121041	188979	-1	9	111041	223979
CBWD1	150472	9	121041	188979	-1	9	111041	223979
CBWD1	55871	9	121041	188979	-1	9	111041	223979
LINC00331	100874126	13	79361454	79366442	-1	13	79351454	79401442
SNORA84	100500918	9	95054743	95054875	-1	9	95044743	95089875
SNORA84	100124534	9	95054743	95054875	-1	9	95044743	95089875
FAM74A3	100996582	9	40715662	40722679	1	9	40680662	40732679
FAM74A3	728495	9	40715662	40722679	1	9	40680662	40732679
LINC00159	100551499	21	33452629	33570125	-1	21	33442629	33605125
RBM26-AS1	100505538	13	79980444	79998463	1	13	79945444	80008463
SNORA80	677846	21	33749496	33749631	-1	21	33739496	33784631
MIR4670	100616351	9	95290266	95290340	-1	9	95280266	95325340
NDFIP2-AS1	100874208	13	80051499	80055366	-1	13	80041499	80090366
LINC00382	101927195	13	80446721	80492079	1	13	80411721	80502079
PCED1A	64773	20	2815960	2821836	-1	20	2805960	2856836
EIF3J-AS1	645212	15	44819455	44829121	-1	15	44809455	44864121
PAXBP1-AS1	100506215	21	34100426	34115433	1	21	34065426	34125433
ZNF658B	101927475	9	41588823	41609544	-1	9	41578823	41644544
SMAD2	4087	18	45357922	45457515	-1	18	45347922	45492515
RNU6-67P	100873771	13	83872206	83872302	-1	13	83862206	83907302
LINC00333	100874128	13	85136499	85137371	1	13	85101499	85147371
LINC00351	100874137	13	85937736	86118705	1	13	85902736	86128705
ATP8B4	79895	15	50150435	50475014	-1	15	50140435	50510014
RNU6-72P	100873775	13	86158883	86158988	-1	13	86148883	86193988
STRBP	55342	9	125871779	126030855	-1	9	125861779	126065855
ANKRD19P	138649	9	95571670	95650975	1	9	95536670	95660975
FES	2242	15	91426925	91439006	1	15	91391925	91449006
NIPA1	123606	15	23043277	23100005	-1	15	23033277	23135005
SPO11	23626	20	55904815	55919050	1	20	55869815	55929050
MIR4500HG	642345	13	88079469	88323514	-1	13	88069469	88358514
CA12	771	15	63613577	63674360	-1	15	63603577	63709360
MIR4500	100616182	13	88270920	88270995	-1	13	88260920	88305995
LINC00397	101930749	13	88453291	88456063	-1	13	88443291	88491063
LINC00945	101930746	21	34430135	34437289	1	21	34395135	34447289
FAM95B1	101928261	9	42466317	42474239	1	9	42431317	42484239
FAM95B1	100133036	9	42466317	42474239	1	9	42431317	42484239
LINC00560	100861553	13	89279107	89282651	1	13	89244107	89292651
PHACTR3	116154	20	58152564	58422766	1	20	58117564	58432766
C9orf66	157983	9	213108	215893	-1	9	203108	250893
ROCK1	6093	18	18526867	18691812	-1	18	18516867	18726812
BMS1P14	101930147	9	42808660	42812274	1	9	42773660	42822274
LINC00559	100874187	13	90712506	90771973	-1	13	90702506	90806973
CHAC1	79094	15	41245160	41248710	1	15	41210160	41258710
KRT18P27	693207	13	90882638	90883936	1	13	90847638	90893936
MIR622	693207	13	90883436	90883531	1	13	90848436	90893531
LINC01049	101927224	13	91145541	91187334	1	13	91110541	91197334
RNU6-75P	100873776	13	91434020	91434123	-1	13	91424020	91469123
LINC00410	144776	13	91543208	91578851	-1	13	91533208	91613851
LINC00380	101930747	13	91739508	91741847	-1	13	91729508	91776847
LINC00379	100874150	13	91779867	91783661	-1	13	91769867	91818661
MIR17HG	407975	13	92000074	92006833	1	13	91965074	92016833
MIR17HG	407048	13	92000074	92006833	1	13	91965074	92016833
MIR17HG	406982	13	92000074	92006833	1	13	91965074	92016833
MIR17HG	406979	13	92000074	92006833	1	13	91965074	92016833
