hgnc_symbol	entrezgene_id	CHR	win_start	win_end	gene_p	n_snps	mean_beta	best_snp	best_snp_p	gene_p_adj
TAPSAR1	100507463	6	32776863	32824272	3.34482066842074e-22	24	-0.0334933270826564	rs4947350	1.39367527850864e-23	1.57039330382354e-19
HLA-DOB	3112	6	32770540	32819825	3.76292325197333e-22	27	-0.0495156046370283	rs4947350	1.39367527850864e-23	1.72910326538017e-19
PSMB9	5698	6	32776913	32837362	6.13217122543802e-22	44	-0.0201339939548603	rs4947350	1.39367527850864e-23	2.75909379074552e-19
PSMB8	5696	6	32798494	32847480	6.55027380899061e-22	47	-0.00852674003683127	rs4947350	1.39367527850864e-23	2.88706660107694e-19
TAP2	6891	6	32779610	32841557	6.9683763925432e-22	50	-0.00825341001739825	rs4947350	1.39367527850864e-23	3.00992049899511e-19
HLA-DQA1	100509457	6	32560956	32624839	1.85902261018212e-21	24	-0.0783821092447859	rs9271573	7.74592754242551e-23	7.72102140617371e-19
HLA-DQA1	3117	6	32560956	32624839	1.85902261018212e-21	24	-0.0783821092447859	rs9271573	7.74592754242551e-23	7.72102140617371e-19
HLA-DQB1	101060835	6	32617244	32671160	2.32377826272765e-21	30	-0.0483268072985413	rs9271573	7.74592754242551e-23	9.29382206298687e-19
HLA-DQB1	3119	6	32617244	32671160	2.32377826272765e-21	30	-0.0483268072985413	rs9271573	7.74592754242551e-23	9.29382206298687e-19
HLA-DQB2	3120	6	32713875	32766311	5.54728898250117e-19	23	-0.0601417773660023	rs9276524	2.41186477500051e-20	2.17826909372869e-16
AHCYL2	23382	7	128829864	129080052	8.92013603146928e-19	19	0.0315474421977065	rs3807306	4.69480843761541e-20	3.44014603342218e-16
C2orf88	84281	2	190709335	191078210	6.37093464152567e-18	66	0.0266306461231567	rs10168266	9.65293127503889e-20	2.41391360443912e-15
LINC01015	100507362	6	29462197	29511345	8.76528752740767e-18	7	0.021573393225297	rs1233478	1.25218393248681e-18	3.26386059878316e-15
TRIM10	10107	6	30109722	30163711	7.60073967515449e-17	8	-0.00957439987325855	rs2517645	9.50092459394311e-18	2.78225719939511e-14
TRIM26	7726	6	30142232	30216204	9.50092459394311e-17	10	0.00501408148784983	rs2517645	9.50092459394311e-18	3.41985780758982e-14
LINC01149	101929111	6	31374444	31424750	9.68055286897912e-17	35	0.000296866929518982	rs2844549	2.76587224827975e-18	3.42739180838266e-14
MICA	100507436	6	31336356	31393092	1.49357101407107e-16	54	-0.0319464737802053	rs2844549	2.76587224827975e-18	5.2026859985311e-14
HCP5	10866	6	31333479	31455283	2.07440418620981e-16	75	-0.0245063022657294	rs2844549	2.76587224827975e-18	7.11125511263068e-14
TRIM40	135644	6	30068885	30126512	4.19198006381318e-16	14	0.0473410781503889	rs2517600	2.99427147415227e-17	1.41459677247146e-13
TRIM31	11074	6	30060674	30115883	4.49140721122841e-16	15	0.0401671102687943	rs2517600	2.99427147415227e-17	1.46971093243788e-13
TRIM15	89870	6	30095993	30150473	4.49140721122841e-16	15	0.0343905194112851	rs2517600	2.99427147415227e-17	1.46971093243788e-13
HIST1H2AK	85235	6	27795658	27841117	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AK	8969	6	27795658	27841117	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AK	8336	6	27795658	27841117	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AK	8332	6	27795658	27841117	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AK	8330	6	27795658	27841117	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AK	8329	6	27795658	27841117	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AL	85235	6	27798034	27843606	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AL	8969	6	27798034	27843606	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AL	8336	6	27798034	27843606	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AL	8332	6	27798034	27843606	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AL	8330	6	27798034	27843606	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HIST1H2AL	8329	6	27798034	27843606	5.51063482135028e-16	1	0.370045235972495	rs200484	5.51063482135028e-16	1.52581000303464e-13
HLA-B	3106	6	31311649	31359965	7.6896157186072e-16	29	-0.053427581886525	rs4992474	2.65159162710593e-17	2.10218519841468e-13
HIST1H4K	554313	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	121504	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8370	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8368	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8366	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8367	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8365	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8364	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8362	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8363	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8361	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8360	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8359	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H4K	8294	6	27788952	27834305	1.10212696427006e-15	2	0.202792120918922	rs200484	5.51063482135028e-16	2.55942323089682e-13
HIST1H2BL	8340	6	27765257	27810709	2.20425392854011e-15	4	0.148978780479611	rs200484	5.51063482135028e-16	4.95888250986258e-13
HIST1H2AJ	8331	6	27772112	27817607	2.20425392854011e-15	4	0.148978780479611	rs200484	5.51063482135028e-16	4.95888250986258e-13
HIST1H2BN	8341	6	27771323	27833487	2.20425392854011e-15	4	0.148978780479611	rs200484	5.51063482135028e-16	4.95888250986258e-13
HCG18	414777	6	30245174	30329927	1.14264916971617e-14	6	0.0147797908682231	rs3129707	1.90441528286029e-15	2.46777941183602e-12
TRIM39	202658	6	30259256	30321506	1.14264916971617e-14	6	0.0147797908682231	rs3129707	1.90441528286029e-15	2.46777941183602e-12
TRIM39	56658	6	30259256	30321506	1.14264916971617e-14	6	0.0147797908682231	rs3129707	1.90441528286029e-15	2.46777941183602e-12
TRIM39-RPP21	202658	6	30262359	30324631	1.14264916971617e-14	6	0.0147797908682231	rs3129707	1.90441528286029e-15	2.46777941183602e-12
HLA-L	3139	6	30192361	30270791	1.52353222628823e-14	8	0.0746278064941408	rs3129707	1.90441528286029e-15	3.25779460308386e-12
TNXB	7148	6	31998931	32118111	1.57176226069181e-14	8	-0.120472443036338	rs185819	1.96470282586476e-15	3.29566500428747e-12
ATF6B	1388	6	32055953	32131030	1.57176226069181e-14	8	-0.118263402388918	rs185819	1.96470282586476e-15	3.29566500428747e-12
HCG17	414778	6	30191816	30328911	2.28529833943235e-14	12	0.0195307767197852	rs3129707	1.90441528286029e-15	4.7457296381462e-12
HLA-C	3107	6	31226526	31274907	3.41728806925013e-14	21	0.0325379494031519	rs2524084	1.62728003297625e-15	7.02887337443762e-12
OR12D3	81797	6	29331200	29378068	2.82433263950178e-13	9	-0.021510674337794	rs9257803	3.1381473772242e-14	5.70066467432897e-11
OR10C1	442194	6	29372083	29418731	2.82433263950178e-13	9	0.0176679188077864	rs9257803	3.1381473772242e-14	5.70066467432897e-11
BTN2A2	10385	6	26348324	26405102	3.10582927350958e-13	14	0.0889078776372836	rs71557334	2.2541842680046e-14	6.2107958166654e-11
BTN3A2	11118	6	26330387	26388546	3.99320906594089e-13	18	0.0865346780743021	rs71557334	2.2541842680046e-14	7.91204919239682e-11
OR5V1	81696	6	29313007	29434744	5.33485054128114e-13	17	-0.0178448120870208	rs9257803	3.1381473772242e-14	1.04742515581863e-10
BTN3A1	11119	6	26367465	26425444	5.7679686508035e-13	13	0.0797449007293815	rs12174623	4.43689896215654e-14	1.12225963019282e-10
HCG11	493812	6	26487076	26536807	1.50165430673616e-12	6	0.0631592334927675	rs16891727	2.5027571778936e-13	2.89564536273043e-10
PSORS1C3	100130889	6	31131512	31180676	1.60336588039253e-12	24	0.0465750040911221	rs1576	6.68069116830222e-14	3.06441530255199e-10
HCG27	253018	6	31130537	31181745	1.67017279207556e-12	25	0.0406145061676029	rs1576	6.68069116830222e-14	3.16409840267156e-10
POU5F1	5460	6	31122119	31183508	2.00420735049067e-12	30	0.0234565079684951	rs1576	6.68069116830222e-14	3.76390140422147e-10
BTN1A1	696	6	26466449	26520650	2.25248146010424e-12	9	0.084814735217582	rs16891727	2.5027571778936e-13	4.19369328395442e-10
C6orf15	29113	6	31069000	31115336	2.27431206810398e-12	17	0.00616228462849335	rs1265057	2.331411961144e-13	4.19814681494374e-10
CCHCR1	54535	6	31100216	31161015	2.60546955563787e-12	39	0.0114739833957106	rs1576	6.68069116830222e-14	4.76867169433144e-10
TCF19	6941	6	31091319	31144936	2.73908337900391e-12	41	0.00413879253515213	rs1576	6.68069116830222e-14	4.9710910702813e-10
CDSN	1041	6	31072867	31123223	3.34457657074115e-12	25	-0.00143016316342748	rs1265057	2.331411961144e-13	6.01940168319139e-10
PSORS1C1	170679	6	31047527	31117869	4.01349188488938e-12	30	-0.0138634964520125	rs1265057	2.331411961144e-13	7.16358547421123e-10
PSORS1C2	170680	6	31095313	31142127	4.9499733246969e-12	37	-0.00659540598349597	rs1265057	2.331411961144e-13	8.76266999126877e-10
HIST1H3J	8968	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8356	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8357	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8358	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8354	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8355	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8353	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8352	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8351	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H3J	8350	6	27848093	27895884	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H2AM	85235	6	27850477	27895963	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H2AM	8969	6	27850477	27895963	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H2AM	8336	6	27850477	27895963	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H2AM	8332	6	27850477	27895963	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H2AM	8330	6	27850477	27895963	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H2AM	8329	6	27850477	27895963	5.84597329991878e-12	2	0.28450016348692	rs200974	3.85803397197049e-12	9.14894821437289e-10
HIST1H1B	3009	6	27824570	27870359	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8968	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8356	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8357	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8358	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8354	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8355	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8353	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8352	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8351	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H3I	8350	6	27829623	27875099	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	554313	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	121504	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8370	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8368	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8366	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8367	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8365	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8364	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8362	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8363	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8361	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8360	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8359	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H4L	8294	6	27830926	27876289	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
HIST1H2BO	8348	6	27826203	27871669	1.07652461143704e-11	2	0.200481504740631	rs200991	5.3826230571852e-12	1.4176647581223e-09
OR2B2	81697	6	27868963	27915174	1.16919465998376e-11	4	0.18307962210343	rs200974	3.85803397197049e-12	1.5303695194951e-09
TOB2P1	222699	6	28175421	28221655	1.82853877163862e-11	10	0.0926162917743518	rs735765	1.82853877163862e-12	2.36472765575325e-09
NKAPL	222698	6	28192098	28238736	1.82853877163862e-11	10	0.126877855616174	rs735765	1.82853877163862e-12	2.36472765575325e-09
ZSCAN9	7746	6	28157664	28211260	2.19424652596634e-11	12	0.105519043762971	rs735765	1.82853877163862e-12	2.82078227507709e-09
ZKSCAN4	387032	6	28202401	28262011	2.37710040313021e-11	13	0.0983995696657473	rs735765	1.82853877163862e-12	3.0377655270061e-09
ZNF192P1	651302	6	28094559	28147372	2.74790624583213e-11	5	0.110667278316001	rs4713139	5.49581249166426e-12	3.49097242301391e-09
ZSCAN16-AS1	100129195	6	28079573	28140071	3.29748749499856e-11	6	0.168492427046824	rs4713139	5.49581249166426e-12	4.16466885552537e-09
ZKSCAN8	7745	6	28074688	28137250	4.39664999333141e-11	8	0.154464995021032	rs4713139	5.49581249166426e-12	5.52060755267316e-09
PGBD1	84547	6	28214314	28280326	4.54090178106088e-11	11	0.0736681507156814	rs68141011	7.14046323065012e-12	5.66877778991745e-09
OR2B6	26212	6	27890019	27935960	4.67677863993502e-11	8	0.0349728893013902	rs200968	5.84597329991878e-12	5.80484990153314e-09
SLC44A4	80736	6	31820969	31881823	5.69541259210755e-11	5	-0.153869340173898	rs2242665	1.13908251842151e-11	7.02879004295696e-09
TAP1	6890	6	32802986	32856755	1.24177133312376e-10	50	-0.0126686814871046	rs2071469	4.05636922821315e-12	1.52378042508374e-08
MICB	4277	6	31427658	31488901	1.21699807836965e-09	19	-0.00454609737558075	rs3131621	6.40525304405081e-11	1.48494392647172e-07
ZFP57	346171	6	29630169	29683887	1.59592535621957e-09	6	0.0306847407510176	rs376319	2.65987559369929e-10	1.93635954597046e-07
HLA-F	3134	6	29655552	29716305	3.19185071243915e-09	12	0.0347589824445804	rs376319	2.65987559369929e-10	3.8510837897513e-07
HLA-G	3135	6	29759744	29808902	1.13758277108346e-08	11	0.0679277855274742	rs1736996	1.03416615553042e-09	1.36490972817164e-06
IRF8	3394	16	85897409	85966215	3.22500388340712e-08	34	-0.0474748245582038	rs4843868	1.4994401450144e-09	3.84808888784218e-06
ITGAM	3684	16	31236311	31354213	5.09839700661536e-08	4	-0.0994605776221749	rs3925075	1.93660799378439e-08	6.05000440394901e-06
SPARC	6678	5	151030657	151101726	5.99958929064099e-08	32	0.0328526730933015	rs1422673	1.87487165332531e-09	7.08049890218435e-06
ITGAX	3687	16	31331455	31404318	6.3729962582692e-08	5	-0.050783082747176	rs3925075	1.93660799378439e-08	7.48030435814347e-06
HCG4	54435	6	29748816	29795850	6.70981501865922e-08	6	0.0580277028258475	rs1737056	1.11830250310987e-08	7.83307432205315e-06
ZSCAN12P1	221584	6	28023932	28071442	6.777041347763e-08	5	0.0992771006652769	rs9468275	2.14425118548692e-08	7.86901946170094e-06
ZNF165	7718	6	28013753	28067341	9.4878578868682e-08	7	0.0841048296064654	rs9468275	2.14425118548692e-08	1.08994290841858e-05
ZSCAN16	80345	6	28057338	28107860	9.4878578868682e-08	7	0.139538703944709	rs9468275	2.14425118548692e-08	1.08994290841858e-05
ZSCAN31	64288	6	28282470	28359048	1.12005740010938e-07	11	0.0568516263746982	rs6922111	1.01823400009944e-08	1.27315156158749e-05
ZSCAN12	9753	6	28336732	28402511	1.12005740010938e-07	11	0.09031332722519	rs6922111	1.01823400009944e-08	1.27315156158749e-05
IRF7	3665	11	602553	650999	2.95370039034318e-07	2	-0.0885108376439871	rs702966	1.47685019517159e-07	3.32245142345009e-05
DRD4	1815	11	602293	650706	2.95370039034318e-07	2	-0.0885108376439871	rs702966	1.47685019517159e-07	3.32245142345009e-05
BTN2A1	11120	6	26423150	26486849	3.79650072759008e-07	8	0.0743515574227449	rs9358947	4.7456259094876e-08	4.24834332713798e-05
PHRF1	57661	11	541486	622222	4.43055058551477e-07	3	-0.0832151396273061	rs702966	1.47685019517159e-07	4.93229902037951e-05
ZKSCAN3	80317	6	28282691	28346947	5.70291538871052e-07	8	0.0432496795080082	rs17301128	7.12864423588815e-08	6.31619813589647e-05
HLA-F-AS1	285830	6	29684378	29751826	6.3471488386257e-07	13	0.022040603378817	rs3131886	4.88242218355823e-08	6.9938455850918e-05
HLA-E	3133	6	30422244	30471982	6.78416069330422e-07	10	0.0173284230327383	rs2516677	6.78416069330422e-08	7.4374374869691e-05
SFTA2	389376	6	30889130	30934952	7.19031097684276e-07	4	-0.00479630872148003	rs1264307	1.79757774421069e-07	7.80347468175242e-05
DPCR1	135656	6	30873749	30931998	7.19031097684276e-07	4	-0.00479630872148003	rs1264307	1.79757774421069e-07	7.80347468175242e-05
CDHR5	53841	11	606565	661078	7.38425097585795e-07	5	-0.050169454946743	rs702966	1.47685019517159e-07	7.97388341628021e-05
